醫事機構代碼,醫事機構名稱,醫事機構種類 ,電話,地 址 ,分區業務組,特約類別,服務項目 ,診療科別 ,終止合約或歇業日期 ,固定看診時段 ,備註
1531020122,宏仁醫院,醫院,02 -29784022,新北市三重區三和路２段１８６－１９６號,臺北業務組,地區醫院,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,血液透析,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,兒童牙齒預防保健,定量免疫法糞便潛血檢查","內科,外科,骨科,復健科,牙科,放射診斷科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,
1531021165,三重中興醫院,醫院,02 -29959680,新北市三重區中興北街２１號,臺北業務組,地區醫院,"復健－物理治療業務,復健－職能治療業務,門診診療,住院診療,成人預防保健,婦女子宮頸抹片檢查,口腔黏膜檢查,定量免疫法糞便潛血檢查","家醫科,內科,外科,神經科,復健科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,國定假日放假
1531021174,祐民醫院,醫院,02 -29783456,新北市三重區重新路２段２、６號，地下１層至地上９層,臺北業務組,地區醫院,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,血液透析,成人預防保健,定量免疫法糞便潛血檢查","家醫科,內科,外科,骨科,泌尿科,復健科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,
1531030100,永和復康醫院,醫院,   -,,臺北業務組,地區醫院,,,2015/11/06,,
1531030119,柯瑞祥婦產科醫院,醫院,   -,,臺北業務組,地區醫院,,,2014/09/09,,
1531031241,永和振興醫院,醫院,   -,,臺北業務組,地區醫院,,,2014/08/01,,
1531031250,永和振興醫院,醫院,   -,,臺北業務組,地區醫院,,,2016/05/31,,
1531031269,瑞祥婦幼醫院,醫院,02 -29235133,新北市永和區福和路２７８號２至６樓,臺北業務組,地區醫院,"門診診療,住院診療,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,定量免疫法糞便潛血檢查","兒科,婦產科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,
1531031278,永和復康醫院,醫院,02 -29240925,新北市永和區中和路５７５、５７７、５７９號１至４樓,臺北業務組,地區醫院,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,成人預防保健,口腔黏膜檢查,定量免疫法糞便潛血檢查","內科,復健科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,
1531040259,中祥醫院,醫院,02 -22405055,新北市中和區中山路２段１３８號２－４樓１４０號及１４２號,臺北業務組,地區醫院,"門診診療,住院診療,血液透析,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,口腔黏膜檢查,定量免疫法糞便潛血檢查","家醫科,內科,外科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,
