醫事機構代碼,醫事機構名稱,醫事機構種類 ,電話,地 址 ,分區業務組,特約類別,服務項目 ,診療科別 ,終止合約或歇業日期 ,固定看診時段 ,備註
5901012847,麗生藥局,藥劑生自營,   -,,臺北業務組,藥局,,,2014/12/11,,
5901012856,民生俊睿藥局,藥師自營,   -,,臺北業務組,藥局,,,2015/02/13,,
5901012874,富景藥局,藥師自營,   -,,臺北業務組,藥局,,,2015/03/04,,
5901012883,延壽盛康藥局,藥師自營,   -,,臺北業務組,藥局,,,2015/11/11,,
5901012892,躍獅京華藥局,藥師自營,   -,,臺北業務組,藥局,,,2014/04/10,,
5901012909,美德延康藥局,藥師自營,   -,,臺北業務組,藥局,,,2015/03/04,,
5901012918,躍獅京華藥局,藥師自營,02 -27666508,台北市松山區南京東路５段７１號,臺北業務組,藥局,,,,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,
5901012927,尚賀藥局,藥劑生自營,02 -27601181,台北市松山區民生東路５段８９號,臺北業務組,藥局,,,,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,
5901012945,十美藥局,藥師自營,   -,,臺北業務組,藥局,,,2014/10/20,,
5901012963,綠之家藥局,藥師自營,02 -25289595,台北市松山區延壽街４２８號,臺北業務組,藥局,,,,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,
5901012981,台北長庚維康藥局,藥師自營,   -,,臺北業務組,藥局,,,2016/05/06,,
5901012990,延吉達康美得藥局,藥師自營,   -,,臺北業務組,藥局,,,2016/04/27,,
5901013004,德安藥局,藥師自營,02 -25782670,台北市松山區八德路３段１９５號２樓,臺北業務組,藥局,,,,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,
5901013013,美德延康藥局,藥師自營,   -,,臺北業務組,藥局,,,2015/10/26,,
5901013022,富景藥局,藥師自營,   -,,臺北業務組,藥局,,,2015/07/02,,
